Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste,ChristmasTree
CustomURL,05/26/20,1,1,0,0,0
CustomURL,06/02/20,1,0,1,0,0
CustomURL,06/03/20,0,0,0,1,0
CustomURL,06/09/20,1,1,0,0,0
CustomURL,06/16/20,1,0,1,0,0
CustomURL,06/17/20,0,0,0,1,0
CustomURL,06/23/20,1,1,0,0,0
CustomURL,06/30/20,0,1,0,0,0
CustomURL,07/01/20,0,0,0,1,0
CustomURL,07/09/20,1,0,1,0,0
CustomURL,07/15/20,0,0,0,1,0
CustomURL,07/16/20,1,1,0,0,0
CustomURL,07/23/20,1,0,1,0,0
CustomURL,07/29/20,0,0,0,1,0
CustomURL,07/30/20,1,1,0,0,0
CustomURL,08/06/20,1,0,1,0,0
CustomURL,08/12/20,0,0,0,1,0
CustomURL,08/13/20,1,1,0,0,0
CustomURL,08/20/20,1,0,1,0,0
CustomURL,08/26/20,0,0,0,1,0
CustomURL,08/27/20,1,1,0,0,0
CustomURL,09/03/20,1,0,1,0,0
CustomURL,09/09/20,0,0,0,1,0
CustomURL,09/10/20,1,1,0,0,0
CustomURL,09/17/20,1,0,1,0,0
CustomURL,09/23/20,0,0,0,1,0
CustomURL,09/24/20,1,1,0,0,0
CustomURL,10/01/20,1,0,1,0,0
CustomURL,10/07/20,0,0,0,1,0
CustomURL,10/08/20,1,1,0,0,0
CustomURL,10/15/20,1,0,1,0,0
CustomURL,10/21/20,0,0,0,1,0
CustomURL,10/22/20,1,1,0,0,0
CustomURL,10/29/20,1,0,1,0,0
CustomURL,11/04/20,0,0,0,1,0
CustomURL,11/05/20,1,1,0,0,0
CustomURL,11/12/20,1,0,1,0,0
CustomURL,11/18/20,0,0,0,1,0
CustomURL,11/19/20,1,1,0,0,0
CustomURL,11/26/20,1,0,1,0,0
CustomURL,12/02/20,0,0,0,1,0
CustomURL,12/03/20,1,1,0,0,0
CustomURL,12/10/20,1,0,1,0,0
CustomURL,12/16/20,0,0,0,1,0
CustomURL,12/17/20,1,1,0,0,0
CustomURL,12/24/20,1,0,1,0,0
CustomURL,12/30/20,0,0,0,1,0
CustomURL,12/31/20,1,1,0,0,0
CustomURL,01/07/21,1,0,1,0,0
CustomURL,01/13/21,0,0,0,1,0
CustomURL,01/14/21,1,1,0,0,0
CustomURL,01/21/21,1,0,1,0,0
CustomURL,01/27/21,0,0,0,1,0
CustomURL,01/28/21,1,1,0,0,0
CustomURL,02/04/21,1,0,1,0,0
CustomURL,02/10/21,0,0,0,1,0
CustomURL,02/11/21,1,1,0,0,0
CustomURL,02/18/21,1,0,1,0,0
CustomURL,02/24/21,0,0,0,1,0
CustomURL,02/25/21,1,1,0,0,0
CustomURL,03/04/21,1,0,1,0,0
CustomURL,03/10/21,0,0,0,1,0
CustomURL,03/11/21,1,1,0,0,0
CustomURL,03/18/21,1,0,1,0,0
CustomURL,03/24/21,0,0,0,1,0
CustomURL,03/25/21,1,1,0,0,0
CustomURL,04/01/21,1,0,1,0,0
CustomURL,04/07/21,0,0,0,1,0
CustomURL,04/08/21,1,1,0,0,0
CustomURL,04/15/21,1,0,1,0,0
CustomURL,04/21/21,0,0,0,1,0
CustomURL,04/22/21,1,1,0,0,0
CustomURL,04/29/21,1,0,1,0,0
CustomURL,05/05/21,0,0,0,1,0
CustomURL,05/06/21,1,1,0,0,0
CustomURL,05/13/21,1,0,1,0,0
CustomURL,05/19/21,0,0,0,1,0
CustomURL,05/20/21,1,1,0,0,0
CustomURL,05/27/21,1,0,1,0,0
CustomURL,06/02/21,0,0,0,1,0
CustomURL,06/03/21,1,1,0,0,0
CustomURL,06/10/21,1,0,1,0,0
CustomURL,06/16/21,0,0,0,1,0
CustomURL,06/17/21,1,1,0,0,0
CustomURL,06/24/21,1,0,1,0,0
CustomURL,06/30/21,0,0,0,1,0
CustomURL,07/01/21,1,1,0,0,0
CustomURL,07/08/21,1,0,1,0,0
CustomURL,07/14/21,0,0,0,1,0
CustomURL,07/15/21,1,1,0,0,0
CustomURL,07/22/21,1,0,1,0,0
CustomURL,07/28/21,0,0,0,1,0
CustomURL,07/29/21,1,1,0,0,0
CustomURL,08/05/21,1,0,1,0,0
CustomURL,08/11/21,0,0,0,1,0
CustomURL,08/12/21,1,1,0,0,0
CustomURL,08/19/21,1,0,1,0,0
CustomURL,08/25/21,0,0,0,1,0
CustomURL,08/26/21,1,1,0,0,0
CustomURL,09/02/21,1,0,1,0,0
CustomURL,09/08/21,0,0,0,1,0
CustomURL,09/09/21,1,1,0,0,0
CustomURL,09/16/21,1,0,1,0,0
CustomURL,09/22/21,0,0,0,1,0
CustomURL,09/23/21,1,1,0,0,0
